system:index,aspecto_deg,depresion_rocio_verano_c,elev_m,fire_label,nbr_verano,ndvi_verano,ndwi_verano,pendiente_deg,precip_verano_mm,tmax_verano_c,viento10m_verano_max_ms,year,.geo
2200,326,7.930063442093683,1243,0,0.48430192,0.6976127,0.24307692,6,206.66049690885657,34.2654968261719,4.2026599133337825,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.391513246510396,42.512770820956355]}"
2201,281,7.930063442093683,1304,0,0.43244234,0.6615385,0.2075875,4,206.66049690885657,34.2654968261719,4.2026599133337825,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.3825300936692,42.512770820956355]}"
2202,249,7.930063442093683,1349,0,0.42990318,0.65514565,0.18761167,3,206.66049690885657,34.2654968261719,4.2026599133337825,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.373546940828005,42.512770820956355]}"
2203,29,7.930063442093683,1337,0,0.50419325,0.69871795,0.2638106,7,206.66049690885657,34.2654968261719,4.2026599133337825,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.36456378798681,42.512770820956355]}"
2204,1,7.930063442093683,1299,0,0.56628144,0.766677,0.28,8,206.66049690885657,34.2654968261719,4.2026599133337825,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.355580635145615,42.512770820956355]}"
2205,9,8.28031040748607,1334,0,0.6006757,0.7548148,0.35410118,3,189.35111435098761,34.7342468261719,4.439727322685409,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.34659748230442,42.512770820956355]}"
2206,79,8.28031040748607,1286,0,0.5067568,0.70480347,0.24813154,7,189.35111435098761,34.7342468261719,4.439727322685409,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.337614329463224,42.512770820956355]}"
2207,17,8.28031040748607,1162,0,0.4724689,0.72663385,0.19711192,5,189.35111435098761,34.7342468261719,4.439727322685409,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.32863117662203,42.512770820956355]}"
2208,303,8.28031040748607,1250,0,0.4311994,0.7066474,0.14546525,8,189.35111435098761,34.7342468261719,4.439727322685409,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.319648023780834,42.512770820956355]}"
2209,309,8.28031040748607,1338,0,0.5456042,0.7226792,0.29668507,4,189.35111435098761,34.7342468261719,4.439727322685409,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.310664870939639,42.512770820956355]}"
